company_name,one_content,one_header,summary,three_content,three_header,two_content,two_header
Centralautopoint,"If you are in need of an honest, reliable and friendly garage, you found it.",Write a review,3.6,I was not disappointed.,Not what I asked for,Booked my car in for the second year for a major service and MOT this time.,"If you are in need of an hones tGarage, look no further."
Facebook,"So I joined facebook about 2 months ago, and literally the only thing I did was join my town's community page. I didn't post anything, I didn't add anyone, I didn't write any comments, and in fact I haven't even gone on the platform in quite some time. Despite all this, my account has been disabled FOUR TIMES for supposedly ""violating the community standards"". And somehow I've been on instagram for nearly a year and NEVER ONCE had this problem. Honestly as soon as it gets re-enabled again I'm just deleting my account because I'm sick of dealing with this",Write a review,1.2,"THANK YOU VERY, VERY MUCH FOR BEING IMPECCABLY FLAWLESS AND IMMACULATE TO THE VERY HIGHEST DEGREE!",Worst service I've ever gotten from a website,"ABSOLUTE PERFECTION GUARANTEED! It successfully taught me the importance of responsible communication! I became a lot more diplomatic, tactful, courteous and respectful! ",artificial picture of lives
etyres,"Great service, ordered my tyres, paid extra for mobile tyre fitter. Tyres came with fitter and the guy fitted them within 20 minutes.",Write a review,3.5,Abysmal!!!,Happy customer :),"Brilliant easy to navigate website and cheapest tyres on the market, will definitely purchase tyres for my other vehicles from here! :)",Fantastic tyre service
Garolla,"The team that was sent where fantastic, on time, no mess, explained how the door worked before they left house. Professional job all round.",Write a review,4.8,"Very good work, well pleased.",Delighted with Garolla Electric Roller…,"Delighted with Garolla Electric Roller Garage Door.  Installed on the day advised at original survey, and left in a tidy and clean state following installation",The team that was sent where fantastic
IN'n'OUT Autocentres,"Excellent. Excellent. Excellent! The Newark on Trent centre never fails to impress with their efficiency, professionalism, customer care and prices.",Write a review,4.5,"Been using them for over 3 years, will carry on doing so and recommending to friends and family.",More like In'n'Wait'n'Wait'n'Wait,Took our Skoda Yeti on 21st February to have 2 new front brake discs and pads fitted. Charged a good price and it was ready to collect 20 minutes before stated.,Excellent
Ring,Ring doorbell.lost my wifi and cant connect.tryed everything that there support suggests and now is a paper waight.i am not impressed.left meeages.tried phone contacts that not reconisable when u phone.not a good service,Write a review,1.3,"I have been waiting for a new door sensor for weeks, they keep telling me they will let me know when it has been sent out, but they dont send one out.",Still not replaced new faulty doorbell sensor after 2 MONTHS of waiting! Not good enough,"I bought this system and it has been nothing but problems. I definatly dont recommend it, so many faults, poor customer service. ",Ring doorbell.lost my wifi and cant…
Twitter,"my favorite website, they are proven to pay me, now I just work at home, in this time of pandemic now they really pay thank you",Write a review,4.0,Outstanding application to feel free from threats. Enjoy to use twitter more than before with this friendly app...,Very good service for the affordable…,Very good service for the affordable price! Their IPTV activation is very fast and customer support also best. It’s the best streaming service with full HD quality. My experience is great on bestiptvfrance. Highly recommended service!!!,AMAZING
Centralautopoint,"If you are in need of an honest, reliable and friendly garage, you found it.",Write a review,3.6,I was not disappointed.,Not what I asked for,Booked my car in for the second year for a major service and MOT this time.,"If you are in need of an hones tGarage, look no further."
E.ON SE,The wait on phone is really bad 1 half hours disgraceful.,Write a review,1.2,"Looks like the only was is to cancel my direct debit to get them to contact me, they will try and charge me for it but I've done everything possible so good luck with that.",Can't get hold of eon customer service,"Can't get hold of eon customer service, phoned them and was on hold for an hour with no answer, went on the online chat and was told to phone them, tried to send them an email and it was returned, went on FB messenger and was told to wait.",The wait on phone is really bad 1 half…
Mr Clutch,"Fodi in Leyton branch best man, very helpful,service was great highly recommend !",Write a review,Warning! We’ve detected misuse on this page,"I booked my car in at the Chelmsford branch and Chris was my first contact a delightful man with perfect manners and so helpful, I limped my car into the Chelmsford branch and as he promised Chris and his team had my car running perfectly by mid day I am very satisfied and will be using them for any job that comes up in the future. ",Excellent service from the manager…,"Excellent service from the manager Steve, I really cannot recommend them enough. Got my MOT done at the Chingford branch! Well done guys, i appreciate it!",Fodi in Leyton branch best man
