company_name,one_content,one_header,summary,three_content,three_header,two_content,two_header
Centralautopoint,If you are in need of an honest reliable and friendly garage you found it.,If you are in need of an hones tGarage look no further.,3.6,I was not disappointed.,Really impressed!,Booked my car in for the second year for a major service and MOT this time.,Not what I asked for
E.ON SE,The wait on phone is really bad 1 half hours disgraceful.,The wait on phone is really bad 1 half…,1.2,Looks like the only was is to cancel my direct debit to get them to contact me they will try and charge me for it but I've done everything possible so good luck with that.,Trying to find a non existant electric…,Can't get hold of eon customer service phoned them and was on hold for an hour with no answer went on the online chat and was told to phone them tried to send them an email and it was returned went on FB messenger and was told to wait.,Can't get hold of eon customer service
Mr Clutch,Fodi in Leyton branch best man very helpfulservice was great highly recommend !,Fodi in Leyton branch best man,Warning! We’ve detected misuse on this page,I booked my car in at the Chelmsford branch and Chris was my first contact a delightful man with perfect manners and so helpful I limped my car into the Chelmsford branch and as he promised Chris and his team had my car running perfectly by mid day I am very satisfied and will be using them for any job that comes up in the future. ,I booked my car in at the Chelmsford…,Excellent service from the manager Steve I really cannot recommend them enough. Got my MOT done at the Chingford branch! Well done guys i appreciate it!,Excellent service from the manager…
The Garage Door Centre,Very pleased with the Horman roller garage door fitted today. Very professional service from the Garage Door Centre and happy to recommend. Big thank you to Scot and Justin for the fitting today.,Very pleased with the Horman roller…,4.5,I was very pleased with the quality of the Hormann Georgian door for the price given. The two guys who fitted it turned up on time were friendly and professional and explained afterwards how to operate and look after the door. My old dented rusting door was removed as well at no extra cost. Compared to some local fitters' prices I was very satisfied. Payment is required in advance; a fifty percent deposit and then the balance 3 days before fitting. This is to stop those despicable people out there who have work done and then do not pay afterwards. I was happy to pay this way and I would highly recommend this company.,Quality and value and professional,Very pleased with my new Hormann sectional garage door from The Garage Door Centre and the whole process from showroom to fitting was straightforward. The installation was completed on schedule and their team were well organised and courteous. I would recommend them.,Very pleased with my new garage door
GE,Forget about it. YOu call and can never get a person; they shunt you to the website which is equally useless.  This was to see about fixing our microwave. They clearly do not want to help you.,Forget about it,1.6,We had ongoing problems since the washer was 6 months old. GE refused to acknowledge despite2-3 service calls because it wouldn't spin or drain properly. The washer's belt and sensor also broke at 2 1/2 years requiring service again. 1 month after our 3year warrant expired through Best Buy it stopped working completely starting with a non spin or drain again. Neither GE or Best Buy extended warranty would cover. GE customer service reps were rude and just do not care that a 3year old washer broke completely. I took this concern to the head supervisor in which she only offered to pay 50% of parts. Absolutely ridiculous. This washer was a complete lemon from the start and GE refused to acknowledge this or the real problem. My husband and I will tell everyone about this experience and never buy a GE product again!,Awful Customer Service,Do not buy the top loader-GTW465ASNWWSKU:6325628 GE,Do not buy the top…
Sheds.co.uk,Great service shed arrived exactly at the right time and was really easy to build. I also ordered some shelves and a Solar PIR light with my order. The light unfortunately was faulty but after emailing the sheds team Jenny was quick to rectify this and sent out a new PIR light replacement straight away.,Great service,4.1,I would strongly recommend NOT using this company. Took money on day of order and then took 7 months to deliver the log cabin. AND THEN even managed to deliver on the wrong date! There were faults in the log cabin with no reasonable solution; and then they refused to communicate with me. Eventually I had to get my money back from Barclaycard Visa (who were excellent). Sheds.co.uk - an appalling company to do business with.,WARNING - DO NOT USE THIS COMPANY,Very helpful responses to questions asked regarding chosen shed. Thanks Ellis. Joy O,Very helpful responses to questions…
Ring,Unlike some other brands such as Canary there is no auto switching of modes ie from home to away when leaving the house. Although it does have geofence. There is no night mode either for when your asleep. You have to manually set it to away mode. The system needs to be updated online with other brands.,Unlike some other brands such as Canary…,1.6,Kept losing the signal when I was setting it up. I was only two yards away from the router so what will it be like when it’s further away and outside? I use my laptop at a much further distance and have no problem with that. The app on the phone and the Fire tablet was very slow to respond sometimes not working at all even when there was a WiFi signal. On the plus side when it was working the picture quality was pretty good but that is only the good thing I can say. Returned mine for a refund.,Ring Video Doorbell,Dont buy these products i bought a outside camera it has intermitting notifications i checked on line to contact the support the online bot gave me a number i called the number it then cost me £30 because this was not a uk number. After 50 minutes on the line they have now told me i need one of their WIFI extenders because the signal is week. I was told it could be a wall blocking the signal the camera is a outdoor one so there will be a wall. I would buy another make of camera these are terrible.,Dont buy these out door camera
National Tyres and Autocare,Very easy and straightforward.,Easy to do,4.6,The site was very slow to load and I found the different tyre options a bit confusing.  Unable to find out if bluelight discount can be applied.,They is irresponsible,I buy new tyres from National Tyres in Portsmouth and they fixed wrong inside place to outside ridiculous,simple and effective
Rated People,Easy to use site  and it's reassuring those on it are checked a reasonably quick response to job I posted. And tradespeople I used was excellent,Easy to use site  and it's reassuring…,4.5,for people who buy these leads  do not waste your time and money because if you are not membership you do not receive any help even if you pay for the lead 2 minutes after receiving the customer's number he has changed his mind and does not want to do this job it is disgusting that Rated  People.  I do not return money for such cases I do not recommend it,Very simple to use,Very disappointed ,Very disappointed
Facebook,"So I joined facebook about 2 months ago and literally the only thing I did was join my town's community page. I didn't post anything I didn't add anyone I didn't write any comments and in fact I haven't even gone on the platform in quite some time. Despite all this my account has been disabled FOUR TIMES for supposedly ""violating the community standards"". And somehow I've been on instagram for nearly a year and NEVER ONCE had this problem. Honestly as soon as it gets re-enabled again I'm just deleting my account because I'm sick of dealing with this",artificial picture of lives,1.2,THANK YOU VERY VERY MUCH FOR BEING IMPECCABLY FLAWLESS AND IMMACULATE TO THE VERY HIGHEST DEGREE!,ABSOLUTE PERFECTION GUARANTEED,ABSOLUTE PERFECTION GUARANTEED! It successfully taught me the importance of responsible communication! I became a lot more diplomatic tactful courteous and respectful! ,Worst service I've ever gotten from a website
